rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate
1274,Lapis,0079,DIAMOND,0,129,14,71,10.9,55.0
1275,Law,0628,DIAMOND,0,208,43,113,20.7,54.3
1276,mathtoo,2886,DIAMOND,0,257,21,133,8.2,51.8
1277,gurifosu,JP1,DIAMOND,0,147,24,78,16.3,53.1
1278,SoyLatte,99160,DIAMOND,0,105,24,59,22.9,56.2
1279,永井あゆむ,1744,DIAMOND,0,177,26,95,14.7,53.7
1280,シューリンガンのグーリンダイ,1111,DIAMOND,0,116,21,64,18.1,55.2
1281,そぞろ,24187,DIAMOND,0,114,21,62,18.4,54.4
1282,waninokoo,8778,DIAMOND,0,77,19,46,24.7,59.7
1283,アーケードスクラッチ,16230,DIAMOND,0,98,24,57,24.5,58.2
1284,origami3196,JP1,DIAMOND,0,100,18,58,18.0,58.0
1285,Reima,1833,DIAMOND,0,187,27,106,14.4,56.7
1286,ワンワンパニック,8333,DIAMOND,0,260,20,134,7.7,51.5
1287,Apple,73557,DIAMOND,0,178,12,100,6.7,56.2
1288,bigdikjj,17cm,DIAMOND,0,208,26,114,12.5,54.8
1289,Willow,jpn,DIAMOND,0,329,39,163,11.9,49.5
1290,hitekozaurusu,JP1,DIAMOND,0,176,26,95,14.8,54.0
1291,sayaike,551,DIAMOND,0,152,15,88,9.9,57.9
1292,けんしんもち,711,DIAMOND,0,227,24,114,10.6,50.2
1293,rela,2195,DIAMOND,0,201,33,98,16.4,48.8
1294,守護者の鉄槌,0327,DIAMOND,0,355,37,167,10.4,47.0
1295,SakuSakuRusk,JP1,EMERALD,99,56,13,38,23.2,67.9
1296,mozu,7169,EMERALD,97,93,22,53,23.7,57.0
1297,Gendy,373,EMERALD,95,102,16,58,15.7,56.9
1298,tanisyan,JP1,EMERALD,93,143,26,74,18.2,51.7
1299,東海道新幹線人造スケバン,kara1,EMERALD,91,158,30,84,19.0,53.2
1300,わんだ,zac,EMERALD,91,149,24,78,16.1,52.3
1301,wiiiiiiiin,JP1,EMERALD,90,112,12,67,10.7,59.8
1302,jyubee,JP1,EMERALD,89,214,26,109,12.1,50.9
1303,もぎもぎふるーつ,1431,EMERALD,88,84,16,51,19.0,60.7
1304,neteru,8909,EMERALD,86,80,14,48,17.5,60.0
1305,Raptor7517,7517,EMERALD,84,90,16,55,17.8,61.1
1306,mederuderu,JP1,EMERALD,84,101,13,64,12.9,63.4
1307,Usya7001,JP1,EMERALD,84,101,13,59,12.9,58.4
1308,仲町JG,サタン順平,EMERALD,84,168,20,92,11.9,54.8
1309,阿武隈竹代,4031,EMERALD,83,74,16,45,21.6,60.8
1310,千修千修千,JP1,EMERALD,80,125,36,66,28.8,52.8
1311,xKirin,1314,EMERALD,79,94,15,59,16.0,62.8
1312,kkp112,JP1,EMERALD,76,82,10,53,12.2,64.6
1313,フルパ専のフル畑任三郎,名に懸けて,EMERALD,75,128,11,73,8.6,57.0
1314,Nont,5515,EMERALD,74,149,25,81,16.8,54.4
1315,syaruru,6286,EMERALD,74,112,11,68,9.8,60.7
1316,martell,0732,EMERALD,73,155,25,82,16.1,52.9
1317,Uno0,777,EMERALD,73,117,22,63,18.8,53.8
1318,きてるぐま,JP1,EMERALD,72,66,17,41,25.8,62.1
1319,bose,JP1,EMERALD,72,74,8,50,10.8,67.6
1320,watatoratft,2174,EMERALD,72,72,16,44,22.2,61.1
1321,Daichan77,2093,EMERALD,72,77,14,48,18.2,62.3
1322,cordsi,JP1,EMERALD,70,180,22,95,12.2,52.8
1323,水をクレメンス卿,2187,EMERALD,69,194,40,102,20.6,52.6
1324,yamadaaaa,0905,EMERALD,69,138,14,78,10.1,56.5
1325,YUNIHIRO1,6056,EMERALD,69,138,15,78,10.9,56.5
1326,Kaoru RabbyHouse,JP1,EMERALD,67,148,32,80,21.6,54.1
1327,kiokswagen,5927,EMERALD,66,169,23,91,13.6,53.8
1328,超绝可爱的妮蔻,neeko,EMERALD,65,89,15,55,16.9,61.8
1329,よいち,yoich,EMERALD,65,239,41,123,17.2,51.5
1330,pitta56,JP1,EMERALD,64,66,10,42,15.2,63.6
1331,トルネード新庄,JP1,EMERALD,64,63,15,39,23.8,61.9
1332,畜肉乎巻奴,0923,EMERALD,64,73,16,47,21.9,64.4
1333,hikaso,JP1,EMERALD,64,223,22,119,9.9,53.4
1334,yokuga,JP1,EMERALD,63,82,15,49,18.3,59.8
1335,SabotenKun,6137,EMERALD,63,212,18,112,8.5,52.8
1336,むら雲,JP1,EMERALD,62,233,22,126,9.4,54.1
1337,ToxicTroller,troll,EMERALD,62,189,26,98,13.8,51.9
1338,happyhour,JP9,EMERALD,62,95,13,57,13.7,60.0
1339,誰よPEG32,8579,EMERALD,61,66,16,42,24.2,63.6
1340,mikochan001,09009,EMERALD,61,120,8,74,6.7,61.7
1341,Cosmic Elevator,0924,EMERALD,60,200,28,106,14.0,53.0
1342,たらこ,9128,EMERALD,59,176,37,98,21.0,55.7
1343,futagorou,8700,EMERALD,59,68,17,43,25.0,63.2
1344,スナクジラ,4586,EMERALD,59,104,20,64,19.2,61.5
1345,muku9,5555,EMERALD,58,108,18,63,16.7,58.3
1346,ジーニアスボーイ,JP1,EMERALD,57,128,16,73,12.5,57.0
1347,ETUDE,JP1,EMERALD,57,71,14,46,19.7,64.8
1348,4419,1038,EMERALD,56,280,21,157,7.5,56.1
1349,2HS,8209,EMERALD,56,115,11,67,9.6,58.3
1350,DangoAnciao,56246,EMERALD,56,47,20,40,42.6,85.1
1351,sito,1225,EMERALD,55,218,40,107,18.3,49.1
