rank,gameName,tagLine,tier,leaguePoints,plays,wins,tops,winRate,top4Rate,rankDiff
III,ƒëè  ƒï  ƒº ƒµm,NA1,DIAMOND,75,77,22,47,28.6,61.0,-2
III,cark,usa,DIAMOND,75,282,47,140,16.7,49.6,-2
III,Spooxy,NA1,DIAMOND,75,142,25,73,17.6,51.4,-2
III,circles,JLynn,DIAMOND,75,161,26,87,16.1,54.0,-2
III,AudiGoVroomVroom,9207,DIAMOND,75,151,19,85,12.6,56.3,-120
III,Godfriedeggs,NA1,DIAMOND,75,179,28,99,15.6,55.3,-3
III,maltese,1111,DIAMOND,75,292,44,147,15.1,50.3,-114
III,TTV Dletgit,1996,DIAMOND,75,151,30,90,19.9,59.6,-3
III,Riverx,NA1,DIAMOND,74,94,18,58,19.1,61.7,-3
III,Slayhan21,NA1,DIAMOND,74,217,30,118,13.8,54.4,-3
III,2D God,77777,DIAMOND,74,150,23,78,15.3,52.0,-3
III,TwTvlolplayerbad,6869,DIAMOND,74,154,18,89,11.7,57.8,-3
III,Arturd,NA1,DIAMOND,74,94,24,54,25.5,57.4,242
III,Mizuu,1010,DIAMOND,74,309,37,160,12.0,51.8,-3
III,software update,NA1,DIAMOND,73,188,22,106,11.7,56.4,-3
III,EL PROFESOR,DALE,DIAMOND,73,148,19,83,12.8,56.1,-3
III,ratiasu,soda,DIAMOND,73,197,30,102,15.2,51.8,-2
III,TommyGhoulz,NA1,DIAMOND,72,132,25,75,18.9,56.8,-2
III,copypasteyoasobi,dream,DIAMOND,72,74,14,47,18.9,63.5,-2
III,Azelarii,NA1,DIAMOND,72,237,28,121,11.8,51.1,-2
III,YZM12,012,DIAMOND,72,268,40,137,14.9,51.1,-73
III,My Angel Yukino,TOP,DIAMOND,71,98,17,57,17.3,58.2,-3
III,ghost,432w,DIAMOND,71,140,15,80,10.7,57.1,-3
III,Xhesto,NA1,DIAMOND,71,98,21,57,21.4,58.2,-3
III,Tetravoltex,Yuki,DIAMOND,70,236,23,128,9.7,54.2,-3
III,Kkaebi,Shin,DIAMOND,70,209,25,110,12.0,52.6,-3
III,Nagi,SEIS,DIAMOND,70,60,17,41,28.3,68.3,-3
III,CorporalJackson,5152,DIAMOND,70,323,60,165,18.6,51.1,-3
